"AuthorDate","ID","treatname","treatID","N","time_wk","y","se","arm","narm","fupcount","fups"
"Schnitzer 2005_2",2,"Rofecoxib_25",22,98,0,6.5,0.169705627484771,6,6,1,5
"Schnitzer 2005_2",2,"Placebo_0",1,104,1,4.39,0.173905249337353,1,6,2,5
"Schnitzer 2005_2",2,"Naproxcinod_1500",15,114,1,3.43,0.164173104642886,2,6,2,5
"Schnitzer 2005_2",2,"Naproxcinod_250",16,104,1,4.55,0.172272982893994,3,6,2,5
"Schnitzer 2005_2",2,"Naproxcinod_750",17,107,1,3.33,0.169973920225238,4,6,2,5
"Schnitzer 2005_2",2,"Naproxen_1000",18,117,1,3.45,0.162438044792012,5,6,2,5
"Schnitzer 2005_2",2,"Rofecoxib_25",22,98,1,3.32,0.176585616696332,6,6,2,5
"Schnitzer 2005_2",2,"Placebo_0",1,104,2,4.41,0.177686409594662,1,6,3,5
"Schnitzer 2005_2",2,"Naproxcinod_1500",15,114,2,3.18,0.166454590588981,2,6,3,5
"Schnitzer 2005_2",2,"Naproxcinod_250",16,104,2,4.17,0.174108104008,3,6,3,5
"Schnitzer 2005_2",2,"Naproxcinod_750",17,107,2,2.95,0.171603615136058,4,6,3,5
"Schnitzer 2005_2",2,"Naproxen_1000",18,117,2,3,0.16392543997828,5,6,3,5
"Schnitzer 2005_2",2,"Rofecoxib_25",22,98,2,3.16,0.179397384895119,6,6,3,5
"Schnitzer 2005_2",2,"Placebo_0",1,104,4,4.05,0.183984363849695,1,6,4,5
"Schnitzer 2005_2",2,"Naproxcinod_1500",15,114,4,2.88,0.169746595918025,2,6,4,5
"Schnitzer 2005_2",2,"Naproxcinod_250",16,104,4,4.14,0.178154032012363,3,6,4,5
"Schnitzer 2005_2",2,"Naproxcinod_750",17,107,4,2.84,0.175414646040789,4,6,4,5
"Schnitzer 2005_2",2,"Naproxen_1000",18,117,4,2.76,0.167895231894081,5,6,4,5
"Schnitzer 2005_2",2,"Rofecoxib_25",22,98,4,2.97,0.183498123208213,6,6,4,5
"Schnitzer 2005_2",2,"Placebo_0",1,104,6,3.97,0.189528491640222,1,6,5,5
"Schnitzer 2005_2",2,"Naproxcinod_1500",15,114,6,2.73,0.17321633954174,2,6,5,5
"Schnitzer 2005_2",2,"Naproxcinod_250",16,104,6,3.99,0.181314120732742,3,6,5,5
"Schnitzer 2005_2",2,"Naproxcinod_750",17,107,6,2.79,0.178985008233165,4,6,5,5
"Schnitzer 2005_2",2,"Naproxen_1000",18,117,6,2.69,0.170611283043991,5,6,5,5
"Schnitzer 2005_2",2,"Rofecoxib_25",22,98,6,2.9,0.186259350679297,6,6,5,5
"Bensen 1999",3,"Placebo_0",1,203,0,5.40562,0.127436521271067,1,5,1,3
"Bensen 1999",3,"Celebrex_100",2,203,0,5.382295,0.127028197878709,2,5,1,3
"Bensen 1999",3,"Celebrex_200",3,197,0,5.26609,0.12930812791979,3,5,1,3
"Bensen 1999",3,"Celebrex_400",4,202,0,5.40562,0.127566081980992,4,5,1,3
"Bensen 1999",3,"Naproxen_1000",18,198,0,5.54508,0.12875035948772,5,5,1,3
"Bensen 1999",3,"Placebo_0",1,203,2,5.02021,0.139670618862376,1,5,2,3
"Bensen 1999",3,"Celebrex_100",2,203,2,4.3457485,0.130300804313681,2,5,2,3
"Bensen 1999",3,"Celebrex_200",3,197,2,3.82251,0.132309240255573,3,5,2,3
"Bensen 1999",3,"Celebrex_400",4,202,2,3.9621085,0.130724495481187,4,5,2,3
"Bensen 1999",3,"Naproxen_1000",18,198,2,4.1248255,0.131930685365367,5,5,2,3
"Bensen 1999",3,"Placebo_0",1,203,12,4.7208885,0.151251348567045,1,5,3,3
"Bensen 1999",3,"Celebrex_100",2,203,12,4.325553,0.14135801055325,2,5,3,3
"Bensen 1999",3,"Celebrex_200",3,197,12,3.720855,0.143254857100138,3,5,3,3
"Bensen 1999",3,"Celebrex_400",4,202,12,3.9650325,0.141764226468071,4,5,3,3
"Bensen 1999",3,"Naproxen_1000",18,198,12,4.267348,0.143136256318841,5,5,3,3
"DeLemos 2011",4,"Placebo_0",1,200,0,6.016,0.146371103705615,1,5,1,7
"DeLemos 2011",4,"Celebrex_200",3,202,0,5.738,0.135231448097162,2,5,1,7
"DeLemos 2011",4,"Tramadol_100",23,201,0,5.968,0.142903021772952,3,5,1,7
"DeLemos 2011",4,"Tramadol_200",24,199,0,6.058,0.136246967602602,4,5,1,7
"DeLemos 2011",4,"Tramadol_300",25,199,0,6.124,0.152125906594789,5,5,1,7
"DeLemos 2011",4,"Placebo_0",1,200,1,4.660234,0.141748899128343,1,5,2,7
"DeLemos 2011",4,"Celebrex_200",3,202,1,3.746574,0.139736935110452,2,5,2,7
"DeLemos 2011",4,"Tramadol_100",23,201,1,4.701114,0.140131241044599,3,5,2,7
"DeLemos 2011",4,"Tramadol_200",24,199,1,4.3466,0.140611104231362,4,5,2,7
"DeLemos 2011",4,"Tramadol_300",25,199,1,4.332964,0.141135040486669,5,5,2,7
"DeLemos 2011",4,"Placebo_0",1,200,2,4.265908,0.144235597065886,1,5,3,7
"DeLemos 2011",4,"Celebrex_200",3,202,2,3.284066,0.141283809671255,2,5,3,7
"DeLemos 2011",4,"Tramadol_100",23,201,2,4.11591,0.141498646470756,3,5,3,7
"DeLemos 2011",4,"Tramadol_200",24,199,2,3.993182,0.142389438794714,4,5,3,7
"DeLemos 2011",4,"Tramadol_300",25,199,2,3.693184,0.142336572529141,5,5,3,7
"DeLemos 2011",4,"Placebo_0",1,200,3,3.980672,0.146623777939637,1,5,4,7
"DeLemos 2011",4,"Celebrex_200",3,202,3,2.930678,0.142552464448954,2,5,4,7
"DeLemos 2011",4,"Tramadol_100",23,201,3,3.667038,0.143014206914787,3,5,4,7
"DeLemos 2011",4,"Tramadol_200",24,199,3,3.762492,0.143902734253991,4,5,4,7
"DeLemos 2011",4,"Tramadol_300",25,199,3,3.230648,0.143835000269422,5,5,4,7
"DeLemos 2011",4,"Placebo_0",1,200,6,3.643174,0.153073317227181,1,5,5,7
"DeLemos 2011",4,"Celebrex_200",3,202,6,2.511332,0.146276500909911,2,5,5,7
"DeLemos 2011",4,"Tramadol_100",23,201,6,3.479538,0.14674325031644,3,5,5,7
"DeLemos 2011",4,"Tramadol_200",24,199,6,3.302266,0.147278546020098,4,5,5,7
"DeLemos 2011",4,"Tramadol_300",25,199,6,2.879542,0.147536659794733,5,5,5,7
"DeLemos 2011",4,"Placebo_0",1,200,9,3.29204,0.158092055404197,1,5,6,7
"DeLemos 2011",4,"Celebrex_200",3,202,9,2.55568,0.149163264958541,2,5,6,7
"DeLemos 2011",4,"Tramadol_100",23,201,9,3.605646,0.149990975160941,3,5,6,7
"DeLemos 2011",4,"Tramadol_200",24,199,9,3.223858,0.150775579152354,4,5,6,7
"DeLemos 2011",4,"Tramadol_300",25,199,9,2.828406,0.150643883208871,5,5,6,7
"DeLemos 2011",4,"Placebo_0",1,200,12,3.268146,0.162795358675804,1,5,7,7
"DeLemos 2011",4,"Celebrex_200",3,202,12,2.545424,0.152021780643981,2,5,7,7
"DeLemos 2011",4,"Tramadol_100",23,201,12,3.349994,0.152578528019132,3,5,7,7
"DeLemos 2011",4,"Tramadol_200",24,199,12,3.240874,0.15337053974826,4,5,7,7
"DeLemos 2011",4,"Tramadol_300",25,199,12,2.77724,0.153252198829557,5,5,7,7
"Gana 2006",5,"Placebo_0",1,205,0,6.118,0.132981128314528,1,5,1,7
"Gana 2006",5,"Tramadol_100",23,202,0,6.164,0.139734472383436,2,5,1,7
"Gana 2006",5,"Tramadol_200",24,201,0,6.304,0.130347869810669,3,5,1,7
"Gana 2006",5,"Tramadol_300",25,201,0,5.932,0.135849565614366,4,5,1,7
"Gana 2006",5,"Tramadol_400",26,202,0,5.96,0.131854179882457,5,5,1,7
"Gana 2006",5,"Placebo_0",1,205,1,5.278,0.133683252585521,1,5,2,7
"Gana 2006",5,"Tramadol_100",23,202,1,5.026,0.133453507215488,2,5,2,7
"Gana 2006",5,"Tramadol_200",24,201,1,5.03,0.133796054462964,3,5,2,7
"Gana 2006",5,"Tramadol_300",25,201,1,4.534,0.133811256762045,4,5,2,7
"Gana 2006",5,"Tramadol_400",26,202,1,4.678,0.13349877353724,5,5,2,7
"Gana 2006",5,"Placebo_0",1,205,2,4.846,0.136453205538565,1,5,3,7
"Gana 2006",5,"Tramadol_100",23,202,2,4.666,0.134941270162399,2,5,3,7
"Gana 2006",5,"Tramadol_200",24,201,2,4.498,0.135358771769523,3,5,3,7
"Gana 2006",5,"Tramadol_300",25,201,2,4.076,0.13543190012515,4,5,3,7
"Gana 2006",5,"Tramadol_400",26,202,2,4.23,0.135042626546916,5,5,3,7
"Gana 2006",5,"Placebo_0",1,205,3,4.746,0.1387323591767,1,5,4,7
"Gana 2006",5,"Tramadol_100",23,202,3,4.446,0.136295607243554,2,5,4,7
"Gana 2006",5,"Tramadol_200",24,201,3,4.3,0.136975460635036,3,5,4,7
"Gana 2006",5,"Tramadol_300",25,201,3,3.92,0.136606264390349,4,5,4,7
"Gana 2006",5,"Tramadol_400",26,202,3,3.898,0.136453941084421,5,5,4,7
"Gana 2006",5,"Placebo_0",1,205,6,4.576,0.145035666086665,1,5,5,7
"Gana 2006",5,"Tramadol_100",23,202,6,4.114,0.14008222551059,2,5,5,7
"Gana 2006",5,"Tramadol_200",24,201,6,4.172,0.140475978779383,3,5,5,7
"Gana 2006",5,"Tramadol_300",25,201,6,3.79,0.140325510210058,4,5,5,7
"Gana 2006",5,"Tramadol_400",26,202,6,3.7,0.139946086680131,5,5,5,7
"Gana 2006",5,"Placebo_0",1,205,9,4.604,0.149961086113941,1,5,6,7
"Gana 2006",5,"Tramadol_100",23,202,9,4.052,0.143244152576179,2,5,6,7
"Gana 2006",5,"Tramadol_200",24,201,9,4.154,0.143522373224311,3,5,6,7
"Gana 2006",5,"Tramadol_300",25,201,9,3.862,0.143786468013823,4,5,6,7
"Gana 2006",5,"Tramadol_400",26,202,9,3.708,0.14305671075246,5,5,6,7
"Gana 2006",5,"Placebo_0",1,205,12,4.634,0.154511151930352,1,5,7,7
"Gana 2006",5,"Tramadol_100",23,202,12,4.02,0.145987546962185,2,5,7,7
"Gana 2006",5,"Tramadol_200",24,201,12,4.074,0.14613322817965,3,5,7,7
"Gana 2006",5,"Tramadol_300",25,201,12,3.854,0.146247785644042,4,5,7,7
"Gana 2006",5,"Tramadol_400",26,202,12,3.804,0.14586527334649,5,5,7,7
"Kivitz 2001",6,"Placebo_0",1,217,0,5.296405,0.113659846878934,1,5,1,3
"Kivitz 2001",6,"Celebrex_100",2,216,0,5.24401,0.113720824304034,2,5,1,3
"Kivitz 2001",6,"Celebrex_200",3,207,0,5.30389,0.115951753425319,3,5,1,3
"Kivitz 2001",6,"Celebrex_400",4,213,0,5.41617,0.114324102244155,4,5,1,3
"Kivitz 2001",6,"Naproxen_1000",18,207,0,5.266465,0.115876657990354,5,5,1,3
"Kivitz 2001",6,"Placebo_0",1,217,2,4.997006,0.124907338927592,1,5,2,3
"Kivitz 2001",6,"Celebrex_100",2,216,2,4.3982035,0.15003124674547,2,5,2,3
"Kivitz 2001",6,"Celebrex_200",3,207,2,4.046407,0.119365956069512,3,5,2,3
"Kivitz 2001",6,"Celebrex_400",4,213,2,4.1362275,0.117737600242718,4,5,2,3
"Kivitz 2001",6,"Naproxen_1000",18,207,2,3.8967065,0.0799305253885453,5,5,2,3
"Kivitz 2001",6,"Placebo_0",1,217,12,4.862275,0.144933243810005,1,5,3,3
"Kivitz 2001",6,"Celebrex_100",2,216,12,4.495509,0.15003124674547,2,5,3,3
"Kivitz 2001",6,"Celebrex_200",3,207,12,4.255988,0.130130623414418,3,5,3,3
"Kivitz 2001",6,"Celebrex_400",4,213,12,4.2485025,0.128242716832299,4,5,3,3
"Kivitz 2001",6,"Naproxen_1000",18,207,12,3.994012,0.0900087220679706,5,5,3,3
"Kivitz 2002",7,"Placebo_0",1,205,0,5.4,0.119932279123531,1,5,1,4
"Kivitz 2002",7,"Naproxen_1000",18,204,0,5.35,0.120117429145081,2,5,1,4
"Kivitz 2002",7,"Valdecoxib_10",27,205,0,5.5,0.119881673205454,3,5,1,4
"Kivitz 2002",7,"Valdecoxib_20",28,201,0,5.35,0.120957158568864,4,5,1,4
"Kivitz 2002",7,"Valdecoxib_5",29,201,0,5.4,0.121072910617065,5,5,1,4
"Kivitz 2002",7,"Placebo_0",1,205,2,4.45,0.125343482935942,1,5,2,4
"Kivitz 2002",7,"Naproxen_1000",18,204,2,3.95,0.123083831351647,2,5,2,4
"Kivitz 2002",7,"Valdecoxib_10",27,205,2,3.95,0.123028622306505,3,5,2,4
"Kivitz 2002",7,"Valdecoxib_20",28,201,2,3.9,0.124569266652862,4,5,2,4
"Kivitz 2002",7,"Valdecoxib_5",29,201,2,4.1,0.124079559093496,5,5,2,4
"Kivitz 2002",7,"Placebo_0",1,205,6,4.2,0.133972713197904,1,5,3,4
"Kivitz 2002",7,"Naproxen_1000",18,204,6,3.8,0.128401844540531,2,5,3,4
"Kivitz 2002",7,"Valdecoxib_10",27,205,6,3.95,0.127922571751738,3,5,3,4
"Kivitz 2002",7,"Valdecoxib_20",28,201,6,3.7,0.129300716665195,4,5,3,4
"Kivitz 2002",7,"Valdecoxib_5",29,201,6,3.85,0.129459328277433,5,5,3,4
"Kivitz 2002",7,"Placebo_0",1,205,12,4.15,0.143643070233946,1,5,4,4
"Kivitz 2002",7,"Naproxen_1000",18,204,12,3.7,0.134276510026265,2,5,4,4
"Kivitz 2002",7,"Valdecoxib_10",27,205,12,3.95,0.133783171855759,3,5,4,4
"Kivitz 2002",7,"Valdecoxib_20",28,201,12,3.7,0.135165361983946,4,5,4,4
"Kivitz 2002",7,"Valdecoxib_5",29,201,12,3.8,0.135437718052169,5,5,4,4
"Fishman 2007",8,"Placebo_0",1,224,0,6.014,0.118663991409116,1,4,1,2
"Fishman 2007",8,"Tramadol_100",23,103,0,5.756,0.155287894238693,2,4,1,2
"Fishman 2007",8,"Tramadol_200",24,107,0,5.676,0.157964742310061,3,4,1,2
"Fishman 2007",8,"Tramadol_300",25,105,0,6.288,0.189519794166605,4,4,1,2
"Fishman 2007",8,"Placebo_0",1,224,12,4.071478,0.138160273363673,1,4,2,2
"Fishman 2007",8,"Tramadol_100",23,103,12,3.361504,0.190214172399667,2,4,2,2
"Fishman 2007",8,"Tramadol_200",24,107,12,3.246672,0.187480088910286,3,4,2,2
"Fishman 2007",8,"Tramadol_300",25,105,12,3.39552,0.188484146949439,4,4,2,2
"Fleischmann 2005",9,"Placebo_0",1,231,0,4.95,0.108562029668362,1,4,1,3
"Fleischmann 2005",9,"Celebrex_200",3,444,0,5.15,0.0792546926453337,2,4,1,3
"Fleischmann 2005",9,"Lumiracoxib_200",12,462,0,5.15,0.0753692210422761,3,4,1,3
"Fleischmann 2005",9,"Lumiracoxib_400",13,463,0,4.95,0.0785409606854893,4,4,1,3
"Fleischmann 2005",9,"Placebo_0",1,231,2,4.15,0.114492079602666,1,4,2,3
"Fleischmann 2005",9,"Celebrex_200",3,444,2,3.7,0.0810675138160701,2,4,2,3
"Fleischmann 2005",9,"Lumiracoxib_200",12,462,2,3.6,0.0796960366210982,3,4,2,3
"Fleischmann 2005",9,"Lumiracoxib_400",13,463,2,3.4,0.0795272556148059,4,4,2,3
"Fleischmann 2005",9,"Placebo_0",1,231,13,3.8,0.132922760558577,1,4,3,3
"Fleischmann 2005",9,"Celebrex_200",3,444,13,3.4,0.0889745978131693,2,4,3,3
"Fleischmann 2005",9,"Lumiracoxib_200",12,462,13,3.3,0.0872649876966427,3,4,3,3
"Fleischmann 2005",9,"Lumiracoxib_400",13,463,13,3.1,0.087327276996685,4,4,3,3
"Lehmann 2005",10,"Placebo_0",1,424,0,4.9,0.0777028689885811,1,4,1,3
"Lehmann 2005",10,"Celebrex_200",3,420,0,5.1,0.0788039308905941,2,4,1,3
"Lehmann 2005",10,"Lumiracoxib_100",11,420,0,4.95,0.0788039308905941,3,4,1,3
"Lehmann 2005",10,"Lumiracoxib_200",12,420,0,4.95,0.0778280308176455,4,4,1,3
"Lehmann 2005",10,"Placebo_0",1,424,2,4.35,0.0823748972943162,1,4,2,3
"Lehmann 2005",10,"Celebrex_200",3,420,2,3.85,0.0811620643502406,2,4,2,3
"Lehmann 2005",10,"Lumiracoxib_100",11,420,2,3.75,0.0812425042710176,3,4,2,3
"Lehmann 2005",10,"Lumiracoxib_200",12,420,2,3.9,0.0811261208924162,4,4,2,3
"Lehmann 2005",10,"Placebo_0",1,424,13,3.65,0.095893956210767,1,4,3,3
"Lehmann 2005",10,"Celebrex_200",3,420,13,3.4,0.0892381069325707,2,4,3,3
"Lehmann 2005",10,"Lumiracoxib_100",11,420,13,3.25,0.0892313345419357,3,4,3,3
"Lehmann 2005",10,"Lumiracoxib_200",12,420,13,3.35,0.0892089570542608,4,4,3,3
"Schnitzer 2010",11,"Placebo_0",1,221,0,7.215,0.106490830017556,1,4,1,4
"Schnitzer 2010",11,"Naproxcinod_1500",15,230,0,7.316,0.098445504677991,2,4,1,4
"Schnitzer 2010",11,"Naproxcinod_750",17,240,0,7.358,0.0992774731077835,3,4,1,4
"Schnitzer 2010",11,"Naproxen_1000",18,227,0,7.101,0.114007753233527,4,4,1,4
"Schnitzer 2010",11,"Placebo_0",1,221,2,5.265,0.113196204511658,1,4,2,4
"Schnitzer 2010",11,"Naproxcinod_1500",15,230,2,4.016,0.109189954524449,2,4,2,4
"Schnitzer 2010",11,"Naproxcinod_750",17,240,2,4.628,0.106661450315243,3,4,2,4
"Schnitzer 2010",11,"Naproxen_1000",18,227,2,3.871,0.109968047212899,4,4,2,4
"Schnitzer 2010",11,"Placebo_0",1,221,6,4.945,0.121366236752763,1,4,3,4
"Schnitzer 2010",11,"Naproxcinod_1500",15,230,6,3.546,0.113745481103586,2,4,3,4
"Schnitzer 2010",11,"Naproxcinod_750",17,240,6,4.118,0.111330919569028,3,4,3,4
"Schnitzer 2010",11,"Naproxen_1000",18,227,6,3.551,0.11460991466006,4,4,3,4
"Schnitzer 2010",11,"Placebo_0",1,221,13,4.655,0.132169567708294,1,4,4,4
"Schnitzer 2010",11,"Naproxcinod_1500",15,230,13,3.596,0.119988005302951,2,4,4,4
"Schnitzer 2010",11,"Naproxcinod_750",17,240,13,3.918,0.117412856256964,3,4,4,4
"Schnitzer 2010",11,"Naproxen_1000",18,227,13,3.331,0.120449077944249,4,4,4,4
"Sheldon 2005",12,"Placebo_0",1,382,0,5.5,0.0739326317089661,1,4,1,2
"Sheldon 2005",12,"Celebrex_200",3,393,0,5.4,0.0817181901134616,2,4,1,2
"Sheldon 2005",12,"Lumiracoxib_100",11,391,0,5.4,0.0781340084320348,3,4,1,2
"Sheldon 2005",12,"Lumiracoxib_NA",14,385,0,5.4,0.0807790798428637,4,4,1,2
"Sheldon 2005",12,"Placebo_0",1,382,13,4.35,0.0985695904039275,1,4,2,2
"Sheldon 2005",12,"Celebrex_200",3,393,13,3.7,0.0898689945877109,2,4,2,2
"Sheldon 2005",12,"Lumiracoxib_100",11,391,13,3.6,0.0902264234934038,3,4,2,2
"Sheldon 2005",12,"Lumiracoxib_NA",14,385,13,3.55,0.0906582366922373,4,4,2,2
"Tannenbaum 2004",13,"Placebo_0",1,243,0,5.15,0.0962250448649376,1,4,1,3
"Tannenbaum 2004",13,"Celebrex_200",3,481,0,5.05,0.0752335241769463,2,4,1,3
"Tannenbaum 2004",13,"Lumiracoxib_200",12,487,0,5.05,0.0770343532530054,3,4,1,3
"Tannenbaum 2004",13,"Lumiracoxib_400",13,491,0,5,0.0744634575970765,4,4,1,3
"Tannenbaum 2004",13,"Placebo_0",1,243,2,4.45,0.110958769203244,1,4,2,3
"Tannenbaum 2004",13,"Celebrex_200",3,481,2,3.85,0.0772774649975577,2,4,2,3
"Tannenbaum 2004",13,"Lumiracoxib_200",12,487,2,3.75,0.0769867098714184,3,4,2,3
"Tannenbaum 2004",13,"Lumiracoxib_400",13,491,2,3.7,0.0764913036446752,4,4,2,3
"Tannenbaum 2004",13,"Placebo_0",1,243,13,3.95,0.128798151266342,1,4,3,3
"Tannenbaum 2004",13,"Celebrex_200",3,481,13,3.5,0.0848927895066419,2,4,3,3
"Tannenbaum 2004",13,"Lumiracoxib_200",12,487,13,3.45,0.0844281977333261,3,4,3,3
"Tannenbaum 2004",13,"Lumiracoxib_400",13,491,13,3.4,0.0841337073558211,4,4,3,3
"Baerwald 2010",14,"Placebo_0",1,331,0,6.548,0.0861356060430226,1,3,1,4
"Baerwald 2010",14,"Naproxcinod_1500",15,323,0,6.625,0.0900334923921203,2,3,1,4
"Baerwald 2010",14,"Naproxen_1000",18,156,0,6.399,0.127381946351947,3,3,1,4
"Baerwald 2010",14,"Placebo_0",1,331,2,5.398,0.0931736665206822,1,3,2,4
"Baerwald 2010",14,"Naproxcinod_1500",15,323,2,4.435,0.0925806940191813,2,3,2,4
"Baerwald 2010",14,"Naproxen_1000",18,156,2,4.029,0.133370857020846,3,3,2,4
"Baerwald 2010",14,"Placebo_0",1,331,6,4.968,0.0996924137062099,1,3,3,4
"Baerwald 2010",14,"Naproxcinod_1500",15,323,6,4.085,0.0964592899046187,2,3,3,4
"Baerwald 2010",14,"Naproxen_1000",18,156,6,3.719,0.138612179388742,3,3,3,4
"Baerwald 2010",14,"Placebo_0",1,331,13,4.751,0.108500341440244,1,3,4,4
"Baerwald 2010",14,"Naproxcinod_1500",15,323,13,4.044,0.101758946834314,2,3,4,4
"Baerwald 2010",14,"Naproxen_1000",18,156,13,3.968,0.146470690078306,3,3,4,4
"Birbara 2006_1",15,"Placebo_0",1,78,0,6.85,0.192487095804581,1,3,1,4
"Birbara 2006_1",15,"Celebrex_200",3,157,0,6.83,0.135674770359496,2,3,1,4
"Birbara 2006_1",15,"Rofecoxib_12",20,160,0,7.05,0.125700536991693,3,3,1,4
"Birbara 2006_1",15,"Placebo_0",1,78,2,5.05,0.198257833264973,1,3,2,4
"Birbara 2006_1",15,"Celebrex_200",3,157,2,4.29,0.137356259406074,2,3,2,4
"Birbara 2006_1",15,"Rofecoxib_12",20,160,2,4.65,0.135815068797244,3,3,2,4
"Birbara 2006_1",15,"Placebo_0",1,78,4,4.9,0.205465351504898,1,3,3,4
"Birbara 2006_1",15,"Celebrex_200",3,157,4,4.09,0.140201330508638,2,3,3,4
"Birbara 2006_1",15,"Rofecoxib_12",20,160,4,4.36,0.139190608414837,3,3,3,4
"Birbara 2006_1",15,"Placebo_0",1,78,6,4.74,0.212107111756212,1,3,4,4
"Birbara 2006_1",15,"Celebrex_200",3,157,6,3.93,0.142851501671756,2,3,4,4
"Birbara 2006_1",15,"Rofecoxib_12",20,160,6,4.19,0.141634956164942,3,3,4,4
"Birbara 2006_2",16,"Placebo_0",1,85,0,6.87,0.190898802880417,1,3,1,4
"Birbara 2006_2",16,"Celebrex_200",3,169,0,6.68,0.133076923076923,2,3,1,4
"Birbara 2006_2",16,"Rofecoxib_12",20,159,0,6.7,0.126888253714903,3,3,1,4
"Birbara 2006_2",16,"Placebo_0",1,85,2,4.93,0.192545016775812,1,3,2,4
"Birbara 2006_2",16,"Celebrex_200",3,169,2,4.19,0.133775817128783,2,3,2,4
"Birbara 2006_2",16,"Rofecoxib_12",20,159,2,3.72,0.138379808347396,3,3,2,4
"Birbara 2006_2",16,"Placebo_0",1,85,4,4.76,0.198929258543521,1,3,3,4
"Birbara 2006_2",16,"Celebrex_200",3,169,4,3.7,0.137021045093306,2,3,3,4
"Birbara 2006_2",16,"Rofecoxib_12",20,159,4,3.72,0.141389843301123,3,3,3,4
"Birbara 2006_2",16,"Placebo_0",1,85,6,4.59,0.206275132682967,1,3,4,4
"Birbara 2006_2",16,"Celebrex_200",3,169,6,3.54,0.139556571428422,2,3,4,4
"Birbara 2006_2",16,"Rofecoxib_12",20,159,6,3.62,0.14410240094927,3,3,4,4
"Enrich 1999",17,"Placebo_0",1,72,0,6.003,0.201075217780176,1,3,1,5
"Enrich 1999",17,"Rofecoxib_125",21,74,0,5.944,0.199534064684237,2,3,1,5
